vehicle_id,mode,time_s,x_m,y_m,speed_mps
125,three_wheeler,73.96,43.49,6.9,10.87
28,two_wheeler,74.28,48.69,1.13,9.74
93,two_wheeler,74.43,103.26,0.13,8.6
154,car,74.58,12.24,6.45,12.24
20,car,74.64,73.21,0.81,9.15
125,three_wheeler,74.96,54.36,6.9,10.87
113,two_wheeler,75.15,0.0,3.91,12.66
28,two_wheeler,75.28,58.43,1.13,9.74
93,two_wheeler,75.43,111.86,0.13,8.6
154,car,75.58,24.48,6.45,12.24
20,car,75.64,82.36,0.81,9.15
51,car,75.73,0.0,6.29,7.97
125,three_wheeler,75.96,65.23,6.9,10.87
113,two_wheeler,76.15,12.66,3.91,12.66
28,two_wheeler,76.28,68.17,1.13,9.74
93,two_wheeler,76.43,120.47,0.13,8.6
154,car,76.58,36.72,6.45,12.24
20,car,76.64,91.51,0.81,9.15
51,car,76.73,7.97,6.29,7.97
125,three_wheeler,76.96,76.1,6.9,10.87
113,two_wheeler,77.15,25.33,3.91,12.66
28,two_wheeler,77.28,77.91,1.13,9.74
93,two_wheeler,77.43,129.07,0.13,8.6
154,car,77.58,48.97,6.45,12.24
20,car,77.64,100.66,0.81,9.15
51,car,77.73,15.94,6.29,7.97
125,three_wheeler,77.96,86.98,6.9,10.87
113,two_wheeler,78.15,37.99,3.91,12.66
28,two_wheeler,78.28,87.65,1.13,9.74
93,two_wheeler,78.43,137.67,0.13,8.6
154,car,78.58,61.21,6.45,12.24
20,car,78.64,109.81,0.81,9.15
51,car,78.73,23.91,6.29,7.97
125,three_wheeler,78.96,97.85,6.9,10.87
113,two_wheeler,79.15,50.65,3.91,12.66
28,two_wheeler,79.28,97.39,1.13,9.74
93,two_wheeler,79.43,146.28,0.13,8.6
154,car,79.58,73.45,6.45,12.24
20,car,79.64,118.96,0.81,9.15
51,car,79.73,31.88,6.29,7.97
125,three_wheeler,79.96,108.72,6.9,10.87
113,two_wheeler,80.15,63.31,3.91,12.66
28,two_wheeler,80.28,107.12,1.13,9.74
93,two_wheeler,80.43,154.88,0.13,8.6
154,car,80.58,85.69,6.45,12.24
20,car,80.64,128.11,0.81,9.15
51,car,80.73,39.85,6.29,7.97
125,three_wheeler,80.96,119.59,6.9,10.87
113,two_wheeler,81.15,75.98,3.91,12.66
28,two_wheeler,81.28,116.86,1.13,9.74
93,two_wheeler,81.43,163.49,0.13,8.6
154,car,81.58,97.93,6.45,12.24
20,car,81.64,137.26,0.81,9.15
51,car,81.73,47.82,6.29,7.97
125,three_wheeler,81.96,130.46,6.9,10.87
113,two_wheeler,82.15,88.64,3.91,12.66
103,bus,82.16,0.0,6.65,6.28
28,two_wheeler,82.28,126.6,1.13,9.74
93,two_wheeler,82.43,172.09,0.13,8.6
154,car,82.58,110.17,6.45,12.24
20,car,82.64,146.41,0.81,9.15
51,car,82.73,55.79,6.29,7.97
125,three_wheeler,82.96,141.34,6.9,10.87
113,two_wheeler,83.15,101.3,3.91,12.66
103,bus,83.16,6.28,6.65,6.28
28,two_wheeler,83.28,136.34,1.13,9.74
93,two_wheeler,83.43,180.7,0.13,8.6
154,car,83.58,122.41,6.45,12.24
20,car,83.64,155.56,0.81,9.15
51,car,83.73,63.76,6.29,7.97
125,three_wheeler,83.96,152.21,6.9,10.87
113,two_wheeler,84.15,113.97,3.91,12.66
103,bus,84.16,12.55,6.65,6.28
28,two_wheeler,84.28,146.08,1.13,9.74
93,two_wheeler,84.43,189.3,0.13,8.6
154,car,84.58,134.66,6.45,12.24
20,car,84.64,164.71,0.81,9.15
51,car,84.73,71.73,6.29,7.97
125,three_wheeler,84.96,163.08,6.9,10.87
113,two_wheeler,85.15,126.63,3.91,12.66
103,bus,85.16,18.83,6.65,6.28
28,two_wheeler,85.28,155.82,1.13,9.74
93,two_wheeler,85.43,197.91,0.13,8.6
154,car,85.58,146.9,6.45,12.24
20,car,85.64,173.87,0.81,9.15
51,car,85.73,79.7,6.29,7.97
125,three_wheeler,85.96,173.95,6.9,10.87
113,two_wheeler,86.15,139.29,3.91,12.66
103,bus,86.16,25.11,6.65,6.28
28,two_wheeler,86.28,165.55,1.13,9.74
154,car,86.58,159.14,6.45,12.24
20,car,86.64,183.02,0.81,9.15
51,car,86.73,87.67,6.29,7.97
125,three_wheeler,86.96,184.82,6.9,10.87
113,two_wheeler,87.15,151.95,3.91,12.66
103,bus,87.16,31.39,6.65,6.28
28,two_wheeler,87.28,175.29,1.13,9.74
154,car,87.58,171.38,6.45,12.24
20,car,87.64,192.17,0.81,9.15
51,car,87.73,95.64,6.29,7.97
10,two_wheeler,87.9,0.0,3.08,12.11
125,three_wheeler,87.96,195.7,6.9,10.87
113,two_wheeler,88.15,164.62,3.91,12.66
103,bus,88.16,37.66,6.65,6.28
28,two_wheeler,88.28,185.03,1.13,9.74
154,car,88.58,183.62,6.45,12.24
51,car,88.73,103.61,6.29,7.97
10,two_wheeler,88.9,12.11,3.08,12.11
113,two_wheeler,89.15,177.28,3.91,12.66
103,bus,89.16,43.94,6.65,6.28
28,two_wheeler,89.28,194.77,1.13,9.74
154,car,89.58,195.86,6.45,12.24
51,car,89.73,111.58,6.29,7.97
10,two_wheeler,89.9,24.21,3.08,12.11
113,two_wheeler,90.15,189.94,3.91,12.66
103,bus,90.16,50.22,6.65,6.28
51,car,90.73,119.55,6.29,7.97
10,two_wheeler,90.9,36.32,3.08,12.11
109,car,91.01,0.0,4.91,7.5
103,bus,91.16,56.5,6.65,6.28
51,car,91.73,127.52,6.29,7.97
10,two_wheeler,91.9,48.42,3.08,12.11
109,car,92.01,7.5,4.91,7.5
103,bus,92.16,62.77,6.65,6.28
51,car,92.73,135.49,6.29,7.97
10,two_wheeler,92.9,60.53,3.08,12.11
109,car,93.01,15.01,4.91,7.5
103,bus,93.16,69.05,6.65,6.28
51,car,93.73,143.46,6.29,7.97
10,two_wheeler,93.9,72.63,3.08,12.11
109,car,94.01,22.51,4.91,7.5
103,bus,94.16,75.33,6.65,6.28
51,car,94.73,151.43,6.29,7.97
10,two_wheeler,94.9,84.74,3.08,12.11
109,car,95.01,30.02,4.91,7.5
103,bus,95.16,81.6,6.65,6.28
51,car,95.73,159.4,6.29,7.97
10,two_wheeler,95.9,96.84,3.08,12.11
109,car,96.01,37.52,4.91,7.5
103,bus,96.16,87.88,6.65,6.28
51,car,96.73,167.37,6.29,7.97
10,two_wheeler,96.9,108.95,3.08,12.11
109,car,97.01,45.03,4.91,7.5
103,bus,97.16,94.16,6.65,6.28
51,car,97.73,175.33,6.29,7.97
10,two_wheeler,97.9,121.05,3.08,12.11
109,car,98.01,52.53,4.91,7.5
103,bus,98.16,100.44,6.65,6.28
51,car,98.73,183.3,6.29,7.97
10,two_wheeler,98.9,133.16,3.08,12.11
109,car,99.01,60.04,4.91,7.5
103,bus,99.16,106.71,6.65,6.28
51,car,99.73,191.27,6.29,7.97
10,two_wheeler,99.9,145.26,3.08,12.11
109,car,100.01,67.54,4.91,7.5
103,bus,100.16,112.99,6.65,6.28
51,car,100.73,199.24,6.29,7.97
10,two_wheeler,100.9,157.37,3.08,12.11
109,car,101.01,75.05,4.91,7.5
103,bus,101.16,119.27,6.65,6.28
10,two_wheeler,101.9,169.48,3.08,12.11
109,car,102.01,82.55,4.91,7.5
46,two_wheeler,102.13,0.0,6.14,13.55
103,bus,102.16,125.55,6.65,6.28
10,two_wheeler,102.9,181.58,3.08,12.11
109,car,103.01,90.06,4.91,7.5
46,two_wheeler,103.13,13.55,6.14,13.55
103,bus,103.16,131.82,6.65,6.28
10,two_wheeler,103.9,193.69,3.08,12.11
109,car,104.01,97.56,4.91,7.5
46,two_wheeler,104.13,27.1,6.14,13.55
103,bus,104.16,138.1,6.65,6.28
84,two_wheeler,104.47,0.0,0.29,8.28
109,car,105.01,105.06,4.91,7.5
46,two_wheeler,105.13,40.64,6.14,13.55
103,bus,105.16,144.38,6.65,6.28
108,two_wheeler,105.36,0.0,5.33,8.86
84,two_wheeler,105.47,8.28,0.29,8.28
109,car,106.01,112.57,4.91,7.5
46,two_wheeler,106.13,54.19,6.14,13.55
103,bus,106.16,150.65,6.65,6.28
108,two_wheeler,106.36,8.86,5.33,8.86
84,two_wheeler,106.47,16.55,0.29,8.28
109,car,107.01,120.07,4.91,7.5
46,two_wheeler,107.13,67.74,6.14,13.55
103,bus,107.16,156.93,6.65,6.28
108,two_wheeler,107.36,17.72,5.33,8.86
84,two_wheeler,107.47,24.83,0.29,8.28
109,car,108.01,127.58,4.91,7.5
46,two_wheeler,108.13,81.29,6.14,13.55
103,bus,108.16,163.21,6.65,6.28
108,two_wheeler,108.36,26.57,5.33,8.86
84,two_wheeler,108.47,33.1,0.29,8.28
109,car,109.01,135.08,4.91,7.5
46,two_wheeler,109.13,94.84,6.14,13.55
103,bus,109.16,169.49,6.65,6.28
108,two_wheeler,109.36,35.43,5.33,8.86
84,two_wheeler,109.47,41.38,0.29,8.28
109,car,110.01,142.59,4.91,7.5
46,two_wheeler,110.13,108.39,6.14,13.55
103,bus,110.16,175.76,6.65,6.28
108,two_wheeler,110.36,44.29,5.33,8.86
84,two_wheeler,110.47,49.66,0.29,8.28
109,car,111.01,150.09,4.91,7.5
46,two_wheeler,111.13,121.93,6.14,13.55
103,bus,111.16,182.04,6.65,6.28
108,two_wheeler,111.36,53.15,5.33,8.86
84,two_wheeler,111.47,57.93,0.29,8.28
109,car,112.01,157.6,4.91,7.5
46,two_wheeler,112.13,135.48,6.14,13.55
103,bus,112.16,188.32,6.65,6.28
108,two_wheeler,112.36,62.01,5.33,8.86
84,two_wheeler,112.47,66.21,0.29,8.28
109,car,113.01,165.1,4.91,7.5
46,two_wheeler,113.13,149.03,6.14,13.55
103,bus,113.16,194.59,6.65,6.28
108,two_wheeler,113.36,70.86,5.33,8.86
84,two_wheeler,113.47,74.48,0.29,8.28
109,car,114.01,172.61,4.91,7.5
46,two_wheeler,114.13,162.58,6.14,13.55
108,two_wheeler,114.36,79.72,5.33,8.86
84,two_wheeler,114.47,82.76,0.29,8.28
109,car,115.01,180.11,4.91,7.5
46,two_wheeler,115.13,176.13,6.14,13.55
108,two_wheeler,115.36,88.58,5.33,8.86
84,two_wheeler,115.47,91.04,0.29,8.28
109,car,116.01,187.62,4.91,7.5
46,two_wheeler,116.13,189.67,6.14,13.55
108,two_wheeler,116.36,97.44,5.33,8.86
84,two_wheeler,116.47,99.31,0.29,8.28
109,car,117.01,195.12,4.91,7.5
108,two_wheeler,117.36,106.3,5.33,8.86
84,two_wheeler,117.47,107.59,0.29,8.28
108,two_wheeler,118.36,115.15,5.33,8.86
84,two_wheeler,118.47,115.86,0.29,8.28
108,two_wheeler,119.36,124.01,5.33,8.86
84,two_wheeler,119.47,124.14,0.29,8.28
108,two_wheeler,120.36,132.87,5.33,8.86
84,two_wheeler,120.47,132.42,0.29,8.28
108,two_wheeler,121.36,141.73,5.33,8.86
84,two_wheeler,121.47,140.69,0.29,8.28
108,two_wheeler,122.36,150.59,5.33,8.86
84,two_wheeler,122.47,148.97,0.29,8.28
108,two_wheeler,123.36,159.44,5.33,8.86
84,two_wheeler,123.47,157.24,0.29,8.28
108,two_wheeler,124.36,168.3,5.33,8.86
84,two_wheeler,124.47,165.52,0.29,8.28
108,two_wheeler,125.36,177.16,5.33,8.86
84,two_wheeler,125.47,173.8,0.29,8.28
6,car,125.54,0.0,2.56,8.75
108,two_wheeler,126.36,186.02,5.33,8.86
84,two_wheeler,126.47,182.07,0.29,8.28
6,car,126.54,8.75,2.56,8.75
108,two_wheeler,127.36,194.87,5.33,8.86
84,two_wheeler,127.47,190.35,0.29,8.28
6,car,127.54,17.51,2.56,8.75
84,two_wheeler,128.47,198.62,0.29,8.28
6,car,128.54,26.26,2.56,8.75
6,car,129.54,35.01,2.56,8.75
6,car,130.54,43.76,2.56,8.75
6,car,131.54,52.52,2.56,8.75
6,car,132.54,61.27,2.56,8.75
6,car,133.54,70.02,2.56,8.75
6,car,134.54,78.78,2.56,8.75
6,car,135.54,87.53,2.56,8.75
6,car,136.54,96.28,2.56,8.75
148,two_wheeler,136.71,0.0,4.49,8.83
6,car,137.54,105.03,2.56,8.75
167,two_wheeler,137.57,0.0,1.12,9.48
148,two_wheeler,137.71,8.83,4.49,8.83
6,car,138.54,113.79,2.56,8.75
167,two_wheeler,138.57,9.48,1.12,9.48
148,two_wheeler,138.71,17.67,4.49,8.83
6,car,139.54,122.54,2.56,8.75
167,two_wheeler,139.57,18.95,1.12,9.48
148,two_wheeler,139.71,26.5,4.49,8.83
2,two_wheeler,140.4,0.0,6.06,8.35
6,car,140.54,131.29,2.56,8.75
167,two_wheeler,140.57,28.43,1.12,9.48
148,two_wheeler,140.71,35.33,4.49,8.83
2,two_wheeler,141.4,8.35,6.06,8.35
6,car,141.54,140.05,2.56,8.75
167,two_wheeler,141.57,37.9,1.12,9.48
148,two_wheeler,141.71,44.16,4.49,8.83
2,two_wheeler,142.4,16.7,6.06,8.35
6,car,142.54,148.8,2.56,8.75
167,two_wheeler,142.57,47.38,1.12,9.48
148,two_wheeler,142.71,53.0,4.49,8.83
2,two_wheeler,143.4,25.05,6.06,8.35
6,car,143.54,157.55,2.56,8.75
167,two_wheeler,143.57,56.85,1.12,9.48
148,two_wheeler,143.71,61.83,4.49,8.83
2,two_wheeler,144.4,33.39,6.06,8.35
6,car,144.54,166.3,2.56,8.75
167,two_wheeler,144.57,66.33,1.12,9.48
148,two_wheeler,144.71,70.66,4.49,8.83
53,two_wheeler,144.73,0.0,4.84,11.29
2,two_wheeler,145.4,41.74,6.06,8.35
6,car,145.54,175.06,2.56,8.75
167,two_wheeler,145.57,75.81,1.12,9.48
148,two_wheeler,145.71,79.5,4.49,8.83
53,two_wheeler,145.73,11.29,4.84,11.29
127,car,146.36,0.0,5.76,12.47
2,two_wheeler,146.4,50.09,6.06,8.35
6,car,146.54,183.81,2.56,8.75
167,two_wheeler,146.57,85.28,1.12,9.48
89,car,146.64,0.0,4.5,7.42
148,two_wheeler,146.71,88.33,4.49,8.83
53,two_wheeler,146.73,22.58,4.84,11.29
183,two_wheeler,147.29,0.0,5.7,8.99
127,car,147.36,12.47,5.76,12.47
2,two_wheeler,147.4,58.44,6.06,8.35
6,car,147.54,192.56,2.56,8.75
167,two_wheeler,147.57,94.76,1.12,9.48
89,car,147.64,7.42,4.5,7.42
148,two_wheeler,147.71,97.16,4.49,8.83
53,two_wheeler,147.73,33.88,4.84,11.29
183,two_wheeler,148.29,8.99,5.7,8.99
127,car,148.36,24.93,5.76,12.47
2,two_wheeler,148.4,66.79,6.06,8.35
167,two_wheeler,148.57,104.23,1.12,9.48
89,car,148.64,14.85,4.5,7.42
148,two_wheeler,148.71,106.0,4.49,8.83
53,two_wheeler,148.73,45.17,4.84,11.29
183,two_wheeler,149.29,17.97,5.7,8.99
127,car,149.36,37.4,5.76,12.47
2,two_wheeler,149.4,75.14,6.06,8.35
167,two_wheeler,149.57,113.71,1.12,9.48
89,car,149.64,22.27,4.5,7.42
148,two_wheeler,149.71,114.83,4.49,8.83
53,two_wheeler,149.73,56.46,4.84,11.29
183,two_wheeler,150.29,26.96,5.7,8.99
127,car,150.36,49.86,5.76,12.47
2,two_wheeler,150.4,83.49,6.06,8.35
167,two_wheeler,150.57,123.18,1.12,9.48
89,car,150.64,29.69,4.5,7.42
148,two_wheeler,150.71,123.66,4.49,8.83
53,two_wheeler,150.73,67.75,4.84,11.29
183,two_wheeler,151.29,35.94,5.7,8.99
127,car,151.36,62.33,5.76,12.47
2,two_wheeler,151.4,91.83,6.06,8.35
167,two_wheeler,151.57,132.66,1.12,9.48
89,car,151.64,37.12,4.5,7.42
148,two_wheeler,151.71,132.49,4.49,8.83
53,two_wheeler,151.73,79.05,4.84,11.29
183,two_wheeler,152.29,44.93,5.7,8.99
127,car,152.36,74.79,5.76,12.47
2,two_wheeler,152.4,100.18,6.06,8.35
167,two_wheeler,152.57,142.14,1.12,9.48
89,car,152.64,44.54,4.5,7.42
148,two_wheeler,152.71,141.33,4.49,8.83
53,two_wheeler,152.73,90.34,4.84,11.29
183,two_wheeler,153.29,53.91,5.7,8.99
127,car,153.36,87.26,5.76,12.47
2,two_wheeler,153.4,108.53,6.06,8.35
167,two_wheeler,153.57,151.61,1.12,9.48
89,car,153.64,51.96,4.5,7.42
148,two_wheeler,153.71,150.16,4.49,8.83
53,two_wheeler,153.73,101.63,4.84,11.29
183,two_wheeler,154.29,62.9,5.7,8.99
127,car,154.36,99.72,5.76,12.47
2,two_wheeler,154.4,116.88,6.06,8.35
167,two_wheeler,154.57,161.09,1.12,9.48
89,car,154.64,59.39,4.5,7.42
148,two_wheeler,154.71,158.99,4.49,8.83
53,two_wheeler,154.73,112.92,4.84,11.29
150,car,155.09,0.0,0.29,8.15
183,two_wheeler,155.29,71.88,5.7,8.99
127,car,155.36,112.19,5.76,12.47
2,two_wheeler,155.4,125.23,6.06,8.35
167,two_wheeler,155.57,170.56,1.12,9.48
89,car,155.64,66.81,4.5,7.42
148,two_wheeler,155.71,167.83,4.49,8.83
53,two_wheeler,155.73,124.22,4.84,11.29
80,three_wheeler,155.96,0.0,1.75,6.78
150,car,156.09,8.15,0.29,8.15
183,two_wheeler,156.29,80.87,5.7,8.99
127,car,156.36,124.66,5.76,12.47
2,two_wheeler,156.4,133.58,6.06,8.35
167,two_wheeler,156.57,180.04,1.12,9.48
89,car,156.64,74.23,4.5,7.42
148,two_wheeler,156.71,176.66,4.49,8.83
53,two_wheeler,156.73,135.51,4.84,11.29
80,three_wheeler,156.96,6.78,1.75,6.78
150,car,157.09,16.31,0.29,8.15
183,two_wheeler,157.29,89.86,5.7,8.99
127,car,157.36,137.12,5.76,12.47
2,two_wheeler,157.4,141.92,6.06,8.35
167,two_wheeler,157.57,189.51,1.12,9.48
89,car,157.64,81.66,4.5,7.42
148,two_wheeler,157.71,185.49,4.49,8.83
53,two_wheeler,157.73,146.8,4.84,11.29
80,three_wheeler,157.96,13.56,1.75,6.78
150,car,158.09,24.46,0.29,8.15
183,two_wheeler,158.29,98.84,5.7,8.99
127,car,158.36,149.59,5.76,12.47
2,two_wheeler,158.4,150.27,6.06,8.35
167,two_wheeler,158.57,198.99,1.12,9.48
89,car,158.64,89.08,4.5,7.42
148,two_wheeler,158.71,194.33,4.49,8.83
